日期,小时,用电负荷
2019-08-19,22:00,101.1925160000001
2019-08-19,23:00,100.0101550000001
2019-08-20,00:00,85.00425700000005
2019-08-20,01:00,94.68437300000001
2019-08-20,02:00,88.314041
2019-08-20,03:00,94.1104400000001
2019-08-20,04:00,86.29144899999996
2019-08-20,05:00,95.27827300000001
2019-08-20,06:00,97.27593200000005
2019-08-20,07:00,102.52133600000023
2019-08-20,08:00,106.02590500000007
2019-08-20,09:00,111.05275500000012
2019-08-20,10:00,112.28872300000012
2019-08-20,11:00,101.38883100000008
2019-08-20,12:00,108.57041700000009
2019-08-20,13:00,108.32084500000016
2019-08-20,14:00,105.96504500000012
2019-08-20,15:00,111.9576050000001
2019-08-20,16:00,111.51031000000009
2019-08-20,17:00,118.37054700000012
2019-08-20,18:00,104.92938100000006
2019-08-20,19:00,113.07405600000006
2019-08-20,20:00,104.48251000000013
2019-08-20,21:00,112.212477
2019-08-20,22:00,99.76633700000015
2019-08-20,23:00,99.80740999999999
2019-08-21,00:00,85.539325
2019-08-21,01:00,95.74051000000009
2019-08-21,02:00,88.36378600000002
2019-08-21,03:00,94.75646300000004
2019-08-21,04:00,85.58854200000005
2019-08-21,05:00,95.956826
2019-08-21,06:00,93.60330200000003
2019-08-21,07:00,110.21522300000012
2019-08-21,08:00,113.31840600000008
2019-08-21,09:00,116.435988
2019-08-21,10:00,105.32384700000017
2019-08-21,11:00,112.73438600000009
2019-08-21,12:00,103.83637400000009
2019-08-21,13:00,107.74608400000004
2019-08-21,14:00,110.77528600000011
2019-08-21,15:00,107.26519800000011
2019-08-21,16:00,111.24658500000004
2019-08-21,17:00,111.7033780000001
2019-08-21,18:00,121.35389700000012
2019-08-21,19:00,108.06263600000011
2019-08-21,20:00,115.08283500000009
2019-08-21,21:00,96.384177
2019-08-21,22:00,110.2685910000001
2019-08-21,23:00,96.45495000000004
2019-08-22,00:00,99.07425900000004
2019-08-22,01:00,89.25348400000001
2019-08-22,02:00,94.20943400000007
2019-08-22,03:00,84.58220599999999
2019-08-22,04:00,92.89619199999996
2019-08-22,05:00,90.88655000000004
2019-08-22,06:00,105.45553500000015
2019-08-22,07:00,107.4534570000001
2019-08-22,08:00,113.09149200000013
2019-08-22,09:00,113.47127900000012
2019-08-22,10:00,109.00510400000014
2019-08-22,11:00,108.25969400000021
2019-08-22,12:00,98.73939300000012
2019-08-22,13:00,111.55770000000008
2019-08-22,14:00,96.95264900000012
2019-08-22,15:00,111.90277800000017
2019-08-22,16:00,106.60746100000011
2019-08-22,17:00,115.4201520000001
2019-08-22,18:00,105.56123900000014
2019-08-22,19:00,113.15615500000003
2019-08-22,20:00,105.49046800000006
2019-08-22,21:00,108.43807900000003
2019-08-22,22:00,101.59893700000003
2019-08-22,23:00,96.03076300000006
2019-08-23,00:00,88.372878
2019-08-23,01:00,94.92412700000004
2019-08-23,02:00,89.75985999999995
2019-08-23,03:00,95.52637899999998
2019-08-23,04:00,78.40954500000002
2019-08-23,05:00,95.76631099999999
2019-08-23,06:00,99.72411500000007
2019-08-23,07:00,109.66429200000007
2019-08-23,08:00,110.10677300000005
2019-08-23,09:00,110.95660700000008
2019-08-23,10:00,106.02539500000006
2019-08-23,11:00,110.0412900000001
2019-08-23,12:00,97.13323300000005
2019-08-23,13:00,114.57698100000005
2019-08-23,14:00,106.21230700000008
2019-08-23,15:00,116.3686510000001
2019-08-23,16:00,100.96495200000014
2019-08-23,17:00,117.17719200000015
2019-08-23,18:00,109.09206700000013
2019-08-23,19:00,112.72490000000006
2019-08-23,20:00,99.69014600000015
2019-08-23,21:00,106.32518900000004
2019-08-23,22:00,102.09945100000004
2019-08-23,23:00,101.01016000000008
2019-08-24,00:00,88.72820400000003
2019-08-24,01:00,95.30901300000001
2019-08-24,02:00,81.32911500000007
2019-08-24,03:00,93.79655499999998
2019-08-24,04:00,85.59272100000004
2019-08-24,05:00,95.69703400000002
2019-08-24,06:00,93.76374900000005
2019-08-24,07:00,101.42321600000015
2019-08-24,08:00,99.40155900000012
2019-08-24,09:00,107.38719600000009
2019-08-24,10:00,95.13863299999997
2019-08-24,11:00,107.29309400000018
2019-08-24,12:00,100.32335900000012
2019-08-24,13:00,103.34450000000007
2019-08-24,14:00,102.39455700000005
2019-08-24,15:00,111.9868110000001
2019-08-24,16:00,105.28921400000011
2019-08-24,17:00,106.4804100000001
2019-08-24,18:00,109.29548500000011
2019-08-24,19:00,102.9595180000001
2019-08-24,20:00,103.87213800000015
2019-08-24,21:00,101.01026800000002
2019-08-24,22:00,97.68659600000011
2019-08-24,23:00,91.83802800000004
2019-08-25,00:00,88.90805800000007
2019-08-25,01:00,87.28566800000007
2019-08-25,02:00,91.44885000000006
2019-08-25,03:00,75.81778200000007
2019-08-25,04:00,89.56322700000008
2019-08-25,05:00,85.35647800000007
2019-08-25,06:00,100.86045800000008
2019-08-25,07:00,97.56410600000008
2019-08-25,08:00,100.27570600000013
2019-08-25,09:00,101.98286800000014
2019-08-25,10:00,108.47814000000011
2019-08-25,11:00,107.0517160000001
2019-08-25,12:00,101.47502800000011
2019-08-25,13:00,104.20071500000012
2019-08-25,14:00,104.3558280000001
2019-08-25,15:00,111.86741100000008
2019-08-25,16:00,106.41251100000011
2019-08-25,17:00,99.70367100000013
2019-08-25,18:00,101.9526230000001
2019-08-25,19:00,103.28316100000022
2019-08-25,20:00,95.53245400000014
2019-08-25,21:00,100.41018800000012
2019-08-25,22:00,96.27822200000007
2019-08-25,23:00,88.98652800000009
2019-08-26,00:00,82.08783999999999
2019-08-26,01:00,92.99460200000007
2019-08-26,02:00,82.52701700000006
2019-08-26,03:00,80.91545100000003
2019-08-26,04:00,81.97578400000005
2019-08-26,05:00,83.28696700000013
2019-08-26,06:00,99.65215100000007
2019-08-26,07:00,101.51462600000004
2019-08-26,08:00,107.38356500000002
2019-08-26,09:00,107.41133900000005
2019-08-26,10:00,114.09498900000007
2019-08-26,11:00,99.82135100000008
2019-08-26,12:00,108.02149500000004
2019-08-26,13:00,114.51542500000014
2019-08-26,14:00,100.57572100000009
2019-08-26,15:00,112.50154300000007
2019-08-26,16:00,104.45065199999999
2019-08-26,17:00,104.98129200000015
2019-08-26,18:00,105.17054100000016
2019-08-26,19:00,107.35484000000015
2019-08-26,20:00,104.88845300000018
2019-08-26,21:00,90.68359500000007
2019-08-26,22:00,108.41311300000008
2019-08-26,23:00,89.82760100000002
2019-08-27,00:00,89.21564000000004
2019-08-27,01:00,93.37285999999999
2019-08-27,02:00,87.704005
2019-08-27,03:00,91.16582700000001
2019-08-27,04:00,79.15016700000002
2019-08-27,05:00,93.56609600000004
2019-08-27,06:00,96.17307600000004
2019-08-27,07:00,111.87277900000008
2019-08-27,08:00,107.85757300000009
2019-08-27,09:00,109.45422900000008
2019-08-27,10:00,108.92699600000013
2019-08-27,11:00,105.25527500000011
2019-08-27,12:00,109.6078540000001
2019-08-27,13:00,102.05617800000013
2019-08-27,14:00,112.54291700000002
2019-08-27,15:00,108.3753090000001
2019-08-27,16:00,108.70194000000014
2019-08-27,17:00,110.60108700000015
2019-08-27,18:00,118.77009600000008
2019-08-27,19:00,114.68960000000007
2019-08-27,20:00,94.72243200000008
2019-08-27,21:00,111.29687299999996
2019-08-27,22:00,102.7307410000001
2019-08-27,23:00,98.43879900000012
2019-08-28,00:00,88.01976800000001
2019-08-28,01:00,87.60753899999997
2019-08-28,02:00,94.39116799999996
2019-08-28,03:00,86.63422099999998
2019-08-28,04:00,85.51521900000003
2019-08-28,05:00,89.37238899999996
2019-08-28,06:00,103.91534900000006
2019-08-28,07:00,105.82316599999997
2019-08-28,08:00,111.37317700000014
2019-08-28,09:00,117.2646480000002
2019-08-28,10:00,104.75495500000011
2019-08-28,11:00,112.93189700000012
2019-08-28,12:00,105.86536000000011
2019-08-28,13:00,106.47557300000013
2019-08-28,14:00,110.36240800000016
2019-08-28,15:00,111.37149400000008
2019-08-28,16:00,110.39723700000006
2019-08-28,17:00,118.44054300000018
2019-08-28,18:00,120.25137500000012
2019-08-28,19:00,106.72566200000014
2019-08-28,20:00,104.3213270000001
2019-08-28,21:00,103.16665100000012
2019-08-28,22:00,109.91932400000007
2019-08-28,23:00,98.1282220000001
2019-08-29,00:00,90.77045800000003
2019-08-29,01:00,90.56935000000004
2019-08-29,02:00,97.84422600000012
2019-08-29,03:00,92.96014200000002
2019-08-29,04:00,84.02890000000004
2019-08-29,05:00,89.58432700000003
2019-08-29,06:00,96.71292699999997
2019-08-29,07:00,114.09314900000012
2019-08-29,08:00,109.46314400000017
2019-08-29,09:00,109.36180399999996
2019-08-29,10:00,105.99410900000007
2019-08-29,11:00,111.89404000000009
2019-08-29,12:00,97.13601200000011
2019-08-29,13:00,115.00717800000005
2019-08-29,14:00,110.23404900000007
2019-08-29,15:00,111.13957500000004
2019-08-29,16:00,109.92083700000005
2019-08-29,17:00,122.25201900000008
2019-08-29,18:00,110.63244000000016
2019-08-29,19:00,108.59858600000008
2019-08-29,20:00,109.55959100000017
2019-08-29,21:00,102.98941500000014
2019-08-29,22:00,100.05145200000005
2019-08-29,23:00,93.82972200000003
2019-08-30,00:00,96.60769500000004
2019-08-30,01:00,88.81164500000001
2019-08-30,02:00,95.27536300000004
2019-08-30,03:00,81.61814199999999
2019-08-30,04:00,90.62121700000002
2019-08-30,05:00,88.02061399999997
2019-08-30,06:00,108.83241700000009
2019-08-30,07:00,97.61942100000012
2019-08-30,08:00,118.10132900000009
2019-08-30,09:00,118.40713500000011
2019-08-30,10:00,102.64576500000004
2019-08-30,11:00,112.01889700000008
2019-08-30,12:00,102.33855900000009
2019-08-30,13:00,103.30241400000008
2019-08-30,14:00,104.61483200000005
2019-08-30,15:00,102.30812400000008
2019-08-30,16:00,107.42546500000012
2019-08-30,17:00,113.40122400000004
2019-08-30,18:00,107.00234900000021
2019-08-30,19:00,101.9302610000001
2019-08-30,20:00,100.8389090000001
2019-08-30,21:00,101.89732700000006
2019-08-30,22:00,99.70593100000004
2019-08-30,23:00,87.667462
2019-08-31,00:00,86.49669700000003
2019-08-31,01:00,91.568476
2019-08-31,02:00,81.75070300000012
2019-08-31,03:00,91.09780899999996
2019-08-31,04:00,74.73442600000003
2019-08-31,05:00,90.04418200000002
2019-08-31,06:00,88.40089700000001
2019-08-31,07:00,100.42838300000005
2019-08-31,08:00,89.23247100000002
2019-08-31,09:00,103.54915200000009
2019-08-31,10:00,99.54487600000009
2019-08-31,11:00,98.01401000000011
2019-08-31,12:00,98.47011700000006
2019-08-31,13:00,108.73572599999999
2019-08-31,14:00,103.563042
2019-08-31,15:00,104.21463700000008
2019-08-31,16:00,107.13067399999998
