day,day_of_week,weekend,half_month,holiday,hour,负荷
6,4,False,1,2,6,106.20123100000004
6,4,False,1,2,7,102.39566100000013
6,4,False,1,2,8,111.22384500000005
6,4,False,1,2,9,117.85963600000004
6,4,False,1,2,10,110.67366900000002
6,4,False,1,2,11,98.92390600000006
6,4,False,1,2,12,113.5134800000001
6,4,False,1,2,13,105.77313800000015
6,4,False,1,2,14,102.996283
6,4,False,1,2,15,114.16553699999999
6,4,False,1,2,16,108.85985000000011
6,4,False,1,2,17,110.00644600000014
6,4,False,1,2,18,118.45952499999999
6,4,False,1,2,19,105.61336600000006
6,4,False,1,2,20,104.45374500000005
6,4,False,1,2,21,102.02166900000006
6,4,False,1,2,22,104.66471000000008
6,4,False,1,2,23,100.41629900000014
6,6,True,1,1,0,2380.5462769999967
6,6,True,1,1,1,86.816727
6,6,True,1,1,2,71.69069300000001
6,6,True,1,1,3,86.87678100000011
6,6,True,1,1,4,76.99475700000004
6,6,True,1,1,5,87.94477900000005
6,6,True,1,1,6,80.84057600000004
6,6,True,1,1,7,95.30585600000005
6,6,True,1,1,8,98.97818000000014
6,6,True,1,1,9,91.66451200000006
6,6,True,1,1,10,108.63012300000011
6,6,True,1,1,11,97.70138000000006
6,6,True,1,1,12,99.37885300000006
6,6,True,1,1,13,105.82501800000004
6,6,True,1,1,14,104.36355800000013
6,6,True,1,1,15,105.95247200000011
6,6,True,1,1,16,105.22761100000008
6,6,True,1,1,17,111.1293120000002
6,6,True,1,1,18,103.31886800000008
6,6,True,1,1,19,99.17835600000012
6,6,True,1,1,20,100.2965790000002
6,6,True,1,1,21,96.712563
6,6,True,1,1,22,105.61767100000003
6,6,True,1,1,23,85.35239800000004
7,0,False,1,1,0,2535.920372999987
7,0,False,1,1,1,86.88543900000002
7,0,False,1,1,2,89.33467100000003
7,0,False,1,1,3,77.10887400000003
7,0,False,1,1,4,88.510735
7,0,False,1,1,5,84.58537999999997
7,0,False,1,1,6,91.90964000000001
7,0,False,1,1,7,102.47531300000006
7,0,False,1,1,8,98.48827600000008
7,0,False,1,1,9,110.71356400000012
7,0,False,1,1,10,107.04168900000012
7,0,False,1,1,11,98.47522900000008
7,0,False,1,1,12,109.58973900000008
7,0,False,1,1,13,109.2208890000001
7,0,False,1,1,14,111.25314800000004
7,0,False,1,1,15,112.59487400000008
7,0,False,1,1,16,119.37937900000018
7,0,False,1,1,17,110.69469300000006
7,0,False,1,1,18,105.24927100000012
7,0,False,1,1,19,109.83044900000007
7,0,False,1,1,20,104.7327840000001
7,0,False,1,1,21,110.73554200000011
7,0,False,1,1,22,96.59568700000004
7,0,False,1,1,23,106.12549400000013
7,2,False,1,2,0,2544.3458210000013
7,2,False,1,2,1,86.11926400000003
7,2,False,1,2,2,89.35429800000006
7,2,False,1,2,3,93.09669700000003
7,2,False,1,2,4,92.56979600000003
7,2,False,1,2,5,79.54386100000009
7,2,False,1,2,6,103.57216000000003
7,2,False,1,2,7,104.40164400000012
7,2,False,1,2,8,109.28589600000011
7,2,False,1,2,9,112.28103800000008
7,2,False,1,2,10,113.50236400000014
7,2,False,1,2,11,100.45599600000011
7,2,False,1,2,12,108.80396600000012
7,2,False,1,2,13,107.04710400000008
7,2,False,1,2,14,108.06733700000008
7,2,False,1,2,15,117.24128600000016
7,2,False,1,2,16,104.01537200000018
7,2,False,1,2,17,111.81167700000009
7,2,False,1,2,18,112.74095300000013
7,2,False,1,2,19,106.56480700000009
7,2,False,1,2,20,103.58632500000012
7,2,False,1,2,21,105.99949300000004
7,2,False,1,2,22,102.57692300000006
7,2,False,1,2,23,93.86426600000011
7,5,True,1,2,0,2613.6960569999933
7,5,True,1,2,1,98.87866100000002
7,5,True,1,2,2,90.65621400000003
7,5,True,1,2,3,88.17290999999996
7,5,True,1,2,4,95.90039300000005
7,5,True,1,2,5,84.44291800000002
7,5,True,1,2,6,100.077763
7,5,True,1,2,7,109.56177400000006
7,5,True,1,2,8,108.07624400000007
7,5,True,1,2,9,105.51210500000008
7,5,True,1,2,10,110.83794900000002
7,5,True,1,2,11,108.65666900000002
7,5,True,1,2,12,113.72180800000001
7,5,True,1,2,13,112.23408500000004
7,5,True,1,2,14,105.56440800000009
7,5,True,1,2,15,119.7108590000001
7,5,True,1,2,16,113.92739500000017
7,5,True,1,2,17,112.24194300000016
7,5,True,1,2,18,118.07227300000014
7,5,True,1,2,19,109.83354300000008
7,5,True,1,2,20,111.97412600000013
7,5,True,1,2,21,101.15677300000003
7,5,True,1,2,22,109.76632100000002
7,5,True,1,2,23,98.19706500000007
8,1,False,1,2,0,2562.809667999981
8,1,False,1,2,1,88.57703800000004
8,1,False,1,2,2,97.55313800000008
8,1,False,1,2,3,80.60843000000004
8,1,False,1,2,4,95.48768900000003
8,1,False,1,2,5,89.88886700000002
